trace,cache_size,assoc,block_size,reads,writes,read_miss,write_miss,replacements,read_miss_rate,write_miss_rate,total_miss_rate
trace files/078.swm256.din,32768,2,64,192459,9894,33,526,69,0.0171,5.3164,0.2762
trace files/078.swm256.din,32768,2,128,192459,9894,24,265,43,0.0125,2.6784,0.1428
trace files/078.swm256.din,32768,4,16,192459,9894,56,2078,141,0.0291,21.0026,1.0546
trace files/078.swm256.din,32768,4,32,192459,9894,44,1046,91,0.0229,10.5721,0.5387
trace files/078.swm256.din,32768,4,64,192459,9894,33,526,57,0.0171,5.3164,0.2762
trace files/078.swm256.din,32768,4,128,192459,9894,24,265,37,0.0125,2.6784,0.1428
trace files/078.swm256.din,32768,8,16,192459,9894,56,2078,110,0.0291,21.0026,1.0546
trace files/078.swm256.din,32768,8,32,192459,9894,44,1046,71,0.0229,10.5721,0.5387
trace files/078.swm256.din,32768,8,64,192459,9894,33,526,47,0.0171,5.3164,0.2762
trace files/078.swm256.din,32768,8,128,192459,9894,24,265,33,0.0125,2.6784,0.1428
trace files/078.swm256.din,65536,1,16,192459,9894,65,2084,273,0.0338,21.0633,1.0620
trace files/078.swm256.din,65536,1,32,192459,9894,61,1060,164,0.0317,10.7136,0.5540
trace files/078.swm256.din,65536,1,64,192459,9894,50,541,101,0.0260,5.4680,0.2921
trace files/078.swm256.din,65536,1,128,192459,9894,57,296,100,0.0296,2.9917,0.1744
trace files/078.swm256.din,65536,2,16,192459,9894,56,2078,49,0.0291,21.0026,1.0546
trace files/078.swm256.din,65536,2,32,192459,9894,44,1046,25,0.0229,10.5721,0.5387
trace files/078.swm256.din,65536,2,64,192459,9894,33,526,13,0.0171,5.3164,0.2762
trace files/078.swm256.din,65536,2,128,192459,9894,24,265,7,0.0125,2.6784,0.1428
trace files/078.swm256.din,65536,4,16,192459,9894,56,2078,0,0.0291,21.0026,1.0546
trace files/078.swm256.din,65536,4,32,192459,9894,44,1046,0,0.0229,10.5721,0.5387
trace files/078.swm256.din,65536,4,64,192459,9894,33,526,0,0.0171,5.3164,0.2762
trace files/078.swm256.din,65536,4,128,192459,9894,24,265,0,0.0125,2.6784,0.1428
trace files/078.swm256.din,65536,8,16,192459,9894,56,2078,0,0.0291,21.0026,1.0546
trace files/078.swm256.din,65536,8,32,192459,9894,44,1046,0,0.0229,10.5721,0.5387
trace files/078.swm256.din,65536,8,64,192459,9894,33,526,0,0.0171,5.3164,0.2762
trace files/078.swm256.din,65536,8,128,192459,9894,24,265,0,0.0125,2.6784,0.1428
trace files/085.gcc.din,8192,1,16,139816,80669,5874,5625,10987,4.2012,6.9729,5.2153
trace files/085.gcc.din,8192,1,32,139816,80669,6713,3418,9875,4.8013,4.2371,4.5949
trace files/085.gcc.din,8192,1,64,139816,80669,8861,2590,11323,6.3376,3.2107,5.1936
trace files/085.gcc.din,8192,1,128,139816,80669,11990,2719,14645,8.5756,3.3706,6.6712
trace files/085.gcc.din,8192,2,16,139816,80669,3443,5276,8207,2.4625,6.5403,3.9545
